Index,Structure,MW,#Atoms,SlogP,TPSA,Flexibility,#RB,HBA,HBD,Rof5,LF Rank Score,LF dG,LF VSscore,LF LE,Unnamed: 15,Unnamed: 16
434,Clc1ccccc1Cn2c(cc(n2)C(=O)NCc3cnccc3)-c4ccc(F)cc4,420.9,30,5,59.8,4.3,6,5,1,1,-7.34093456025419,-0.095039749178639,-13.0744238197053,-0.350033044575886,,Column A - Index = Molecule Number
98,Clc1c(nn(c1-c2ccc(F)cc2)-c3cccc(Cl)c3)C(=O)NCc4cnccc4,441.3,30,5.6,59.8,2.5,5,5,1,1,-8.6700927125803,0.0535304576208677,-13.5540739771077,-0.330093240435948,,Yellow columns B & K = not required
788,FC(F)(F)c1ccccc1NC(=O)c2c(n(nn2)-c3ccc4c(c(on4)-c5ccccc5)c3)C,463.4,34,5.1,85.8,0.8,5,7,1,1,-12.8000607199887,-7.84872462156316,-13.0342532299136,-0.307337330007241,,Green columns = required for analysis
254,Clc1c(nn(Cc2ccccc2F)c1-c3ccccc3)C(=O)NCc4cnccc4,420.9,30,5,59.8,4.3,6,5,1,1,-7.23903380767611,0.437465033867346,-12.2440115899905,-0.329179870719396,,Columns C-J are independent properties of the CORRESPONDING Molecule No. listed in column A
302,Clc1c(nn(c1-c2cc(Cl)ccc2Cl)CCO)C(=O)NCc3cnccc3,425.7,27,4.3,80,5.3,7,6,2,0,-9.60890228115476,-3.72534831204289,-11.0502946078764,-0.203119706878818,,
378,Fc1ccc(Cn2c(-c3cccc4ccccc43)cc(n2)C(=O)NCc5cnccc5)cc1,436.5,33,5.5,59.8,4.3,6,5,1,1,-7.76524173215231,-1.81987351633411,-15.7446411056166,-0.373001383906635,,Columns L-O are results 
394,Fc1ccccc1Cn2c(cc(n2)C(=O)NCc3cnccc3)-c4cccc([N+]([O-])=O)c4,431.4,32,4.2,105.6,4.5,7,8,1,0,-12.96502329573,-10.5949728177717,-10.1567865827289,-0.258986661677092,,
728,Fc1ccc(Cn2c(-c3cccc(OC)c3)cc(n2)C(=O)NCc4cnccc4)cc1,416.5,31,4.3,69,4.8,7,6,1,0,-6.85618480018176,-4.59401226062059,-11.2933782595867,-0.296094560576794,,Analysis - whether column L data depend upon sum of columns C-J data
688,O=C(Nc1cccc2c1cccn2)c3cc([nH]n3)-c4cscc4,320.4,23,3.9,70.7,0.6,3,5,2,0,-1.65571039342765,3.19987610660244,-1.88352881414409,-0.16485207666723,,Analysis - whether column M data depend upon sum of columns C-J data
252,Clc1c(nn(Cc2ccc(F)cc2)c1-c3ccccc3)C(=O)NCc4cnccc4,420.9,30,5,59.8,4.3,6,5,1,1,-7.2257943370516,0.45138199763394,-12.3828677142556,-0.336771358370497,,Analysis - whether column N data depend upon sum of columns C-J data
270,Clc1c(n(nc1C(=O)NCc2cnccc2)Cc3ccc(F)cc3)-c4ccc(F)cc4,438.9,31,5.4,59.8,4.3,6,5,1,1,-8.43304816225882,-0.870668476522264,-14.4968902180777,-0.347990038821466,,Analysis - whether column O data depend upon sum of columns C-J data
84,Clc1c(nn(Cc2ccccc2F)c1-c3ccc(F)cc3)C(=O)NCc4cnccc4,438.9,31,5.4,59.8,4.3,6,5,1,1,-7.54625273411369,-0.60330472964686,-14.3761435470776,-0.361572298039548,,
374,Clc1c(Cl)ccc(N2C(O)=CC(=O)C(=N2)C(=O)Nc3ccncc3)c1,377.2,25,3.2,94.9,1.3,4,7,2,0,-8.6330641934554,-4.5022391929029,-3.39731369674484,-0.110537380695503,,Column K is not important and ignore
172,Clc1c(nn(Cc2cccc(c2)C)c1-c3ccc(F)cc3)C(=O)NCc4cnccc4,434.9,31,5.3,59.8,4.3,6,5,1,1,-7.54091661935094,-1.01396600629964,-14.6367174580081,-0.359075631875562,,Column B is not important and ignore
794,Clc1c(nn(c1-c2cc(Cl)ccc2Cl)C)C(=O)NCCc3nn4cnnc4s3,456.7,28,3.6,90,3.3,5,8,1,0,-12.7513330935084,-9.6115844887688,-7.76330563783914,-0.122972116532503,,
742,Fc1ccc(c(c1)C)-c2nc(c3ccccn32)C(=O)NCc4cnccc4,360.4,27,4,59.3,2.3,4,5,1,0,-1.67623879137395,0.250058526444535,-4.70320604090455,-0.198783616001375,,MW = Molecular weight of molecule
198,Clc1c(nn(c1-c2cccc([N+]([O-])=O)c2)CCO)C(=O)NCc3cnccc3,401.8,28,2.8,125.9,5.5,8,9,2,0,-15.2459940665347,-11.9960856554442,-7.39395104562918,-0.188490480150232,,#Atoms = Number of atoms in molecule
450,Clc1c(nn(c1-c2ccc(F)cc2)-c3ccc(Cl)cc3)C(=O)NCc4cnccc4,441.3,30,5.6,59.8,2.5,5,5,1,1,-8.90840847248869,0.176825296917652,-13.127837953608,-0.337799258809078,,SlogP = Water solubility of molecule
448,Fc1ccc(Cn2c(cc(n2)C(=O)NCc3cnccc3)-c4cccc([N+]([O-])=O)c4)cc1,431.4,32,4.2,105.6,4.5,7,8,1,0,-13.1684459698961,-11.031089137603,-9.64272354839525,-0.263448706537387,,TPSA = Total polar surface area of molecule
354,Clc1c(nn(c1-c2ccc(F)cc2)-c3ccccc3)C(=O)NCc4cnccc4,406.8,29,5,59.8,2.5,5,5,1,0,-5.49544456684079,-0.624832517072273,-9.55109506943843,-0.238596624366297,,Flexibility = Conformational flexibility of molecule
236,Clc1cccc(F)c1COc2c(non2)C(=O)Nc3ccc4c[nH]nc4c3,387.8,27,3.3,105.9,3,5,8,2,0,-10.2967434145776,-8.43486800057549,-6.05528885063877,-0.155597963700785,,#RB = Number of rotatable bonds in molecule
